Component,Model / Specification,Quantity,Unit Price (LKR),Total Price (LKR),Supplier / Source,Notes
Vibration Sensor,MPU6050 6-DOF MEMS IMU Module,1,200.00,200.00,Local electronics shop,I2C interface; AD0 tied to GND (addr 0x68)
Current Sensor,ACS712 30A Module,1,170.00,170.00,Local electronics shop,Future expansion — not used in current version
Microcontroller,ESP32 Dev Kit v1 (Espressif),1,1650.00,1650.00,Local electronics shop,Dual-core 240 MHz; integrated Wi-Fi & Bluetooth
DC Motor + Bearing Mount,12V DC Motor with pillow-block bearing,4,55.00,220.00,Local electronics shop,Test rig drive motor and bearing housings
Li-ion Battery Pack,3.7V 2000mAh 18650 cell pack,1,750.00,750.00,Local electronics shop,Powers ESP32 via 3.3V LDO regulator
Red LED,5mm Through-hole Red LED,3,4.25,12.75,Local electronics shop,Fault indicator
Green LED,5mm Through-hole Green LED,3,4.25,12.75,Local electronics shop,Normal operation indicator
Yellow LED,5mm Through-hole Yellow LED,3,4.25,12.75,Local electronics shop,Warning indicator
Buzzer,5V Passive Buzzer,1,55.00,55.00,Local electronics shop,Driven via 2N2222 NPN transistor
Potentiometer,10 kOhm Rotary Potentiometer,1,20.00,20.00,Local electronics shop,RMS threshold adjustment (GPIO34 ADC)
Push Button,Momentary SPST Push Button,2,85.00,170.00,Local electronics shop,BTN1: calibrate; BTN2: reset alert
Voltage Regulator,AMS1117 3.3V LDO Module,1,75.00,75.00,Local electronics shop,Regulates Li-ion to 3.3V for ESP32
NPN Transistor,2N2222 NPN Transistor,1,5.00,5.00,Local electronics shop,Buzzer driver switch
Resistors,330 Ohm (LED current limiting) x5,5,2.00,10.00,Local electronics shop,
Resistors,4.7 kOhm (I2C pull-up) x2,2,2.00,4.00,Local electronics shop,SDA and SCL pull-up to 3.3V
Resistor,1 kOhm (transistor base) x1,1,2.00,2.00,Local electronics shop,2N2222 base resistor
Connecting Wires,Jumper Wire Set 1m (M-M and M-F),1,23.00,23.00,Local electronics shop,
Breadboard,Half-size 400-tie breadboard,1,150.00,150.00,Local electronics shop,Prototype assembly
3D Printed Bracket,PLA sensor mount for MPU6050,1,0.00,0.00,University FabLab,Rigid mount to motor housing
,,,,,,
TOTAL,,,,,,"3,571.25"
